1.ID|2.DateObs|3.TimeObs|4.Filename|5.Object|6.RA_hhmmss|7.DEC_ddmmss|8.RA_deg|9.DEC_deg|10.RA_pix|11.Dec_pix|12.FilterName|13.JD|14.ExpTime_sec|15.Zmag|16.FWHM|17.Altitude|18.Airmass
44|2020-08-08|14:38:46|CTA102-20200808@143841-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1022.9860|1023.3990|R_Astrodon_2018|2459070.1102546295|180.0|21.1373|2.3032|50.2427|1.2902
45|2020-08-08|14:42:02|CTA102-20200808@144201-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1023.5602|1022.7219|R_Astrodon_2018|2459070.1125231483|180.0|21.1603|2.1610|50.9817|1.2769
46|2020-08-08|13:54:38|DA406-20200808@135432-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1090.7022|910.7323|R_Astrodon_2018|2459070.0796064814|180.0|21.3486|2.5111|50.6073|1.3024
47|2020-08-08|13:57:53|DA406-20200808@135753-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1091.2430|912.5832|R_Astrodon_2018|2459070.081863426|180.0|21.3346|2.2759|49.9349|1.3155
48|2020-08-08|15:08:57|ES2344+514-20200808@150852-R_Astrodon_2018_calib.fits|ES2344+514|23 47 04.00|+51 42 18.0|356.7667|51.7050|1026.6501|1065.0073|R_Astrodon_2018|2459070.1312152776|180.0|21.4806|2.3534|42.0484|1.4828
49|2020-08-08|13:46:53|KS1510-08-20200808@134648-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|978.4127|1020.0547|R_Astrodon_2018|2459070.0742245372|180.0|20.9724|3.2475|25.5595|2.3455
50|2020-08-08|13:50:08|KS1510-08-20200808@135007-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|981.3515|1020.0349|R_Astrodon_2018|2459070.0764814815|180.0|20.9831|3.0772|24.8730|2.4071
51|2020-08-08|15:01:24|L-Lacertae-20200808@150119-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|937.4181|985.4625|R_Astrodon_2018|2459070.125972222|180.0|21.4797|2.2514|60.8436|1.1413
52|2020-08-08|15:04:39|L-Lacertae-20200808@150439-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|938.1733|987.0879|R_Astrodon_2018|2459070.128229167|180.0|21.4921|2.0904|61.3535|1.1359
53|2020-08-08|14:08:15|Mkn501-20200808@140814-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1029.2727|1011.4834|R_Astrodon_2018|2459070.0890625|180.0|21.1178|2.4430|54.8609|1.2288
54|2020-08-08|14:11:30|Mkn501-20200808@141129-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1029.8092|1012.8111|R_Astrodon_2018|2459070.0913194446|180.0|21.2341|2.4127|54.2588|1.2382
55|2020-08-08|14:53:22|PKS2155-304-20200808@145317-R_Astrodon_2018_calib.fits|PKS2155-304|21 58 52.00|-30 13 32.0|329.7167|-30.2256|1063.5258|1125.4757|R_Astrodon_2018|2459070.1203935184|180.0|20.2775|2.5970|29.9871|1.9758
56|2020-08-08|14:56:37|PKS2155-304-20200808@145636-R_Astrodon_2018_calib.fits|PKS2155-304|21 58 52.00|-30 13 32.0|329.7167|-30.2256|1063.2833|1125.9588|R_Astrodon_2018|2459070.122650463|180.0|20.7274|2.6075|30.3321|1.9558
57|2020-08-09|14:21:57|3C345-20200809@142157-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1030.1862|1021.5545|R_Astrodon_2018|2459071.098576389|180.0|20.9507|2.5366|49.5089|1.3227
58|2020-08-09|14:25:12|3C345-20200809@142511-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1030.6327|1022.9059|R_Astrodon_2018|2459071.1008333336|180.0|20.9521|2.4078|48.8924|1.3354
59|2020-08-09|14:37:00|3C371-20200809@143655-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1034.3464|1081.8794|R_Astrodon_2018|2459071.109027778|180.0|21.4144|2.3357|40.9795|1.5273
60|2020-08-09|14:40:16|3C371-20200809@144016-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1034.3838|1080.7268|R_Astrodon_2018|2459071.111296296|180.0|21.4201|2.3240|40.8219|1.5323
61|2020-08-09|14:52:32|3C454-3-20200809@145231-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1017.2858|1032.1491|R_Astrodon_2018|2459071.119814815|180.0|20.8357|2.2524|50.9418|1.2777
62|2020-08-09|14:55:46|3C454-3-20200809@145546-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1017.8647|1031.2431|R_Astrodon_2018|2459071.1220601853|180.0|20.8415|2.1643|51.6841|1.2647
63|2020-08-09|14:08:21|4C38-41-20200809@140820-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1026.9730|1014.7578|R_Astrodon_2018|2459071.0891319443|180.0|21.2507|2.4807|50.9281|1.2956
64|2020-08-09|14:11:36|4C38-41-20200809@141135-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1027.5393|1016.3626|R_Astrodon_2018|2459071.0913888887|180.0|21.2476|2.4332|50.2954|1.3076
65|2020-08-09|14:29:25|4C51-37-20200809@142920-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1037.8892|1019.4600|R_Astrodon_2018|2459071.1037615743|180.0|21.5504|2.2779|52.5099|1.2649
66|2020-08-09|14:32:41|4C51-37-20200809@143240-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1038.0213|1020.0044|R_Astrodon_2018|2459071.1060300926|180.0|21.5355|2.2343|52.1105|1.2719
67|2020-08-09|14:45:42|CTA102-20200809@144538-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1022.1955|1022.7473|R_Astrodon_2018|2459071.1150694443|180.0|21.2016|2.2059|52.6958|1.2479
68|2020-08-09|14:48:58|CTA102-20200809@144857-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1022.7651|1023.4477|R_Astrodon_2018|2459071.117337963|180.0|21.2002|2.3041|53.4304|1.2362
69|2020-08-09|14:01:34|DA406-20200809@140128-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1086.8676|910.1870|R_Astrodon_2018|2459071.084421296|180.0|21.3848|2.5317|48.3583|1.3474
70|2020-08-09|14:04:49|DA406-20200809@140448-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1087.7766|912.1656|R_Astrodon_2018|2459071.086678241|180.0|21.3710|2.5030|47.6850|1.3622
71|2020-08-09|15:15:57|ES2344+514-20200809@151552-R_Astrodon_2018_calib.fits|ES2344+514|23 47 04.00|+51 42 18.0|356.7667|51.7050|1026.8832|1061.4219|R_Astrodon_2018|2459071.136076389|180.0|21.7000|2.2954|43.6690|1.4392
72|2020-08-09|13:53:49|KS1510-08-20200809@135344-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|913.4061|1213.6741|R_Astrodon_2018|2459071.079039352|180.0|21.0173|3.2211|23.2552|2.5610
73|2020-08-09|13:57:05|KS1510-08-20200809@135704-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|915.5945|1213.3011|R_Astrodon_2018|2459071.0813078703|180.0|21.0240|3.1296|22.5576|2.6365
74|2020-08-09|15:08:21|L-Lacertae-20200809@150816-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|934.5014|990.6430|R_Astrodon_2018|2459071.1307986113|180.0|21.5041|2.4132|62.5245|1.1239
75|2020-08-09|15:11:37|L-Lacertae-20200809@151136-R_Astrodon_2018_calib.fits|L-Lacertae|22 02 43.30|+42 16 40.0|330.6804|42.2778|934.8173|992.0436|R_Astrodon_2018|2459071.1330671296|180.0|21.5105|2.2694|63.0135|1.1191
76|2020-08-09|14:15:10|Mkn501-20200809@141509-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1028.5518|1008.5820|R_Astrodon_2018|2459071.0938657406|180.0|21.4322|2.5999|52.8428|1.2613
77|2020-08-09|14:18:25|Mkn501-20200809@141824-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1028.8829|1010.1236|R_Astrodon_2018|2459071.0961226854|180.0|21.4201|2.4652|52.2339|1.2719
78|2020-08-09|15:00:18|PKS2155-304-20200809@150013-R_Astrodon_2018_calib.fits|PKS2155-304|21 58 52.00|-30 13 32.0|329.7167|-30.2256|1062.2212|1128.2513|R_Astrodon_2018|2459071.125208333|180.0|21.2486|2.3172|31.1080|1.9133
79|2020-08-09|15:03:34|PKS2155-304-20200809@150333-R_Astrodon_2018_calib.fits|PKS2155-304|21 58 52.00|-30 13 32.0|329.7167|-30.2256|1061.8350|1128.9304|R_Astrodon_2018|2459071.127476852|180.0|21.2520|2.3300|31.4264|1.8964
80|2020-08-12|14:05:42|3C345-20200812@140541-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1028.6860|1024.3359|R_Astrodon_2018|2459074.087291667|180.0|20.8682|3.9717|50.3518|1.3062
81|2020-08-12|14:08:57|3C345-20200812@140856-R_Astrodon_2018_calib.fits|3C345|16 42 58.80|+39 48 37.0|250.7450|39.8103|1029.5048|1026.5872|R_Astrodon_2018|2459074.089548611|180.0|20.9030|3.7039|49.7370|1.3183
82|2020-08-12|14:20:42|3C371-20200812@142037-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1034.4503|1079.7873|R_Astrodon_2018|2459074.0977083333|180.0|21.4150|3.6794|41.1903|1.5207
83|2020-08-12|14:23:57|3C371-20200812@142357-R_Astrodon_2018_calib.fits|3C371|18 06 50.70|+69 49 28.0|271.7112|69.8244|1034.3746|1079.0048|R_Astrodon_2018|2459074.0999652776|180.0|21.4187|3.5409|41.0390|1.5255
84|2020-08-12|14:41:05|3C454-3-20200812@144101-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1019.6660|1030.1995|R_Astrodon_2018|2459074.111863426|180.0|20.8258|3.2435|51.0212|1.2762
85|2020-08-12|14:44:21|3C454-3-20200812@144421-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1020.6353|1030.4321|R_Astrodon_2018|2459074.1141319443|180.0|-9999.0000|-9999.0000|51.7711|1.2632
86|2020-08-12|14:53:25|3C454-3-20200812@145322-R_Astrodon_2018_calib.fits|3C454-3|22 53 57.70|+16 08 54.0|343.4904|16.1483|1018.5765|1028.4198|R_Astrodon_2018|2459074.120428241|180.0|20.8508|3.0107|53.8507|1.2296
87|2020-08-12|13:52:10|4C38-41-20200812@135209-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1025.2615|1015.2228|R_Astrodon_2018|2459074.0778935184|180.0|21.0946|4.2483|51.7805|1.2800
88|2020-08-12|13:55:25|4C38-41-20200812@135524-R_Astrodon_2018_calib.fits|4C38-41|16 35 15.50|+38 08 04.0|248.8146|38.1344|1025.8980|1017.5870|R_Astrodon_2018|2459074.080150463|180.0|21.0896|3.9227|51.1494|1.2915
89|2020-08-12|14:13:10|4C51-37-20200812@141305-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1035.1950|1019.7360|R_Astrodon_2018|2459074.092476852|180.0|21.5524|3.4847|53.0454|1.2557
90|2020-08-12|14:16:26|4C51-37-20200812@141625-R_Astrodon_2018_calib.fits|4C51-37|17 40 37.00|+52 11 43.0|265.1542|52.1953|1035.0561|1020.6853|R_Astrodon_2018|2459074.0947453706|180.0|21.5567|3.3558|52.6537|1.2624
91|2020-08-12|14:29:27|CTA102-20200812@142922-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1023.3565|1023.4378|R_Astrodon_2018|2459074.1037847223|180.0|21.1743|3.5839|51.6918|1.2646
92|2020-08-12|14:32:42|CTA102-20200812@143241-R_Astrodon_2018_calib.fits|CTA102|22 32 36.40|+11 43 51.0|338.1517|11.7308|1023.7276|1022.3528|R_Astrodon_2018|2459074.1060416666|180.0|21.1606|3.6134|52.4245|1.2523
93|2020-08-12|13:45:21|DA406-20200812@134515-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1085.0041|902.9478|R_Astrodon_2018|2459074.073159722|180.0|21.2510|4.2314|49.2739|1.3286
94|2020-08-12|13:48:37|DA406-20200812@134836-R_Astrodon_2018_calib.fits|DA406|16 13 41.00|+34 12 48.0|243.4208|34.2133|1085.4547|905.2362|R_Astrodon_2018|2459074.075428241|180.0|21.2567|3.7769|48.5974|1.3427
95|2020-08-12|13:31:59|KS1510-08-20200812@133154-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|903.5942|1086.0567|R_Astrodon_2018|2459074.063877315|180.0|20.8713|4.9545|25.3850|2.3588
96|2020-08-12|13:35:14|KS1510-08-20200812@133513-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|906.6735|1086.3720|R_Astrodon_2018|2459074.066134259|180.0|-9999.0000|-9999.0000|24.6978|2.4212
97|2020-08-12|13:40:49|KS1510-08-20200812@134044-R_Astrodon_2018_calib.fits|KS1510-08|15 12 50.50|-09 06 00.0|228.2104|-9.1000|1031.6484|1030.8934|R_Astrodon_2018|2459074.070011574|180.0|20.8316|5.1545|23.5119|2.5398
98|2020-08-12|13:58:57|Mkn501-20200812@135857-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1026.8913|1010.0735|R_Astrodon_2018|2459074.0826041666|180.0|21.3958|3.6901|53.6681|1.2477
99|2020-08-12|14:02:13|Mkn501-20200812@140212-R_Astrodon_2018_calib.fits|Mkn501|16 53 52.20|+39 45 37.0|253.4675|39.7603|1027.2551|1012.1606|R_Astrodon_2018|2459074.0848726854|180.0|21.3899|3.9616|53.0587|1.2578
100|2020-08-16|20:09:12|3C66A-20200816@200907-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1023.8050|1023.2992|R_Astrodon_2018|2459078.339722222|180.0|21.1461|3.6548|69.6383|1.0664
101|2020-08-16|20:12:28|3C66A-20200816@201227-R_Astrodon_2018_calib.fits|3C66A|02 22 39.60|+43 02 08.0|35.6650|43.0356|1023.9055|1026.7326|R_Astrodon_2018|2459078.341990741|180.0|21.1377|3.6371|69.8150|1.0653
102|2020-08-16|20:01:44|AO0235+16-20200816@200139-R_Astrodon_2018_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1022.5766|1029.4587|R_Astrodon_2018|2459078.334537037|180.0|21.7259|4.2642|76.2663|1.0274
103|2020-08-16|20:04:59|AO0235+16-20200816@200458-R_Astrodon_2018_calib.fits|AO0235+16|02 38 38.90|+16 36 59.0|39.6621|16.6164|1022.2457|1033.5548|R_Astrodon_2018|2459078.3367939815|180.0|21.6959|4.1121|76.9230|1.0248
